Molecule,Canonical_Smiles,category
CHEMBL524045,Clc1ccc(Cc2cc3cnc(nc3n2CCC4CCCCC4)C#N)cc1,Cys
CHEMBL250720,FC(F)(F)[C@@H](N[C@@H](CS(=O)(=O)c1ccc(Br)cc1)C(=O)NC2(CC2)C#N)c3ccccc3,Cys
CHEMBL247783,CSc1ccc(cc1)c2c[n+]([O-])ccc2C3CCC(F)(F)CC3C(=O)NCC#N,Cys
CHEMBL1835322,CC(C)[C@H](NC(=O)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N1CCCC[C@H]1C(=O)N[C@H]2CC(=O)OC2O,Cys
CHEMBL49862,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc2cscn2)NC(=O)[C@@H](CC(=O)N3CCOCC3)Cc4ccccc4,Asp
CHEMBL288347,CCN1C[C@H](NS1(=O)=O)[C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](Cc4ccccc4)NC(=O)OC(C)(C)C,Asp
CHEMBL322631,CC(C)CC(NC(=O)CNc1cccc2ccccc12)C(=O)N[C@H]3CC(=O)OC3O,Cys
CHEMBL288346,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)[C@@H]4CN(CCO)C(=O)O4,Asp
CHEMBL315651,CC(C)(C)OC(=O)N[C@@H](CCCc1ccccc1)C=O,Cys
CHEMBL288411,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)[C@@H]4CCNC(=O)O4,Asp
CHEMBL1807645,C[C@@H]1CC[C@H](NC(=O)[C@H](CC2=CCCC2)NC(=O)c3occc3)C(=O)CN1S(=O)(=O)c4ccccn4,Cys
CHEMBL1808229,CCC(=O)NCC(C)(C)CNC(=O)[C@@H](C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(C)C,Asp
CHEMBL289898,COc1cccc(c1)C(=O)OCc2ccc(cc2)[C@H]3CCNC[C@@H]3OCc4ccc5ccccc5c4,Asp
CHEMBL362074,CCCCCCN(C)CNCC(=O)[C@H](CC(=O)O)NC(=O)C(CC)N1C=C(N=C(NCc2nonc2C)C1=O)C(C)(CC)CC,Cys
CHEMBL431502,C(O[C@H]1CNCC[C@@H]1c2ccc(OCc3onc(n3)c4ccccc4)cc2)c5ccc6ccccc6c5,Asp
CHEMBL1790066,CC[C@@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)C(C(O)C(=O)O)C(=O)COc1ccccc1)C(C)C)C(=O)N(C)c2ccccn2,Asp
CHEMBL1790063,CC[C@@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)Cc1ccccc1)C(C)C)C(=O)N(C)c2ccccn2,Asp
CHEMBL28050,CC[C@@H](C)CNC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)O)NC(=O)COc1ccccc1)C(C)C,Asp
CHEMBL242510,OC1OC(=O)C[C@@H]1NC(=O)CN2CC=CC[C@H](NC(=O)c3cc4ccccc4s3)C2=O,Cys
CHEMBL557357,Cl.CNC(=O)[C@H](C)CNC(=O)[C@@H](C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(C)C,Asp
CHEMBL232713,CCCC[C@H](NC(=O)O[C@H](Cn1cnc2cc(Cl)c(Cl)cc12)C(C)(C)C)C(=O)CNS(=O)(=O)c3ccccn3,Cys
CHEMBL391145,CCCCS(=O)(=O)C[C@@H](NC(=O)OCCNC(=O)C)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNCc2cccc(CC)c2,Asp
CHEMBL2115484,CC(C)CNC(=O)[C@](O)(CN)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc3ccccc3)NC(=O)OC(C)(C)C,Asp
CHEMBL1824353,CCC(=O)c1cc(cs1)C2(N=C(N)N(C)C2=O)c3cccc(c3)c4cncnc4,Asp
CHEMBL49286,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)[C@@H](O)CC(C)C,Asp
