Molecule;Canonical Smiles;Standard Type;Standard Value;pChEMBL Value;Molecular Weight;ALogP
CHEMBL570908;CC1(C)C(C(=O)c2cn(Cc3ccncc3)c4ccccc24)C1(C)C;Ki;47.86;7.32;332.45;4.95
CHEMBL1210782;CS(=O)(=O)NCCCn1c(cc(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(CC4)(N5CCC(F)(F)CC5)C(=O)N;IC50;1.4;8.85;731.09;5.91
CHEMBL247516;CC(COc1c(C)cccc1C)NC(=O)c2cnc(c3ccc(C)cc3)c(n2)c4ccc(C)cc4;Ki;39;7.41;465.6;6.24
CHEMBL390675;CCCCCNc1ccc(C(=O)c2cccc3ccccc23)c4ccccc14;IC50;25;7.6;367.49;6.83
CHEMBL500689;CCc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C4=NC(=O)C(C)(C)N4C;EC50;9.8;8.01;475.81;6.06
CHEMBL367819;Fc1ccc(COc2nc(c3ccc(Cl)cc3Cl)c(cc2C#N)c4ccc(Cl)cc4)cc1F;EC50;8;8.1;501.75;8.1
CHEMBL361384;Cn1c(nc(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NC4CCCC4;IC50;17;7.77;448.78;6.39
CHEMBL527031;COc1cccc2c3C(=O)N(C=Cc3n(CCN4CCOCC4)c12)[C@H]5[C@@]6(C)CC[C@H](C6)C5(C)C;Ki;16;7.8;463.62;4.68
CHEMBL240313;C[C@H](CO)NC(=O)CCC\C=C/C\C=C/CCOc1cccc(c1)C(C)(C)CCCCO;Ki;78.97;7.1;445.64;5.07
CHEMBL232328;CSC(=S)N1CC2(CCCCC2)CS/C/1=N\c3cccc4ccccc34;Ki;30;7.52;400.64;6.47
CHEMBL271810;COC(=O)c1ccc2c(cn(CC3CCOCC3)c2c1)C(=O)C4C(C)(C)C4(C)C;Ki;25;7.6;397.52;4.72
CHEMBL2063236;CC(C)C(=O)NC1CCCOc2c1nn(c3ccccc3Cl)c2c4ccc(Cl)cc4;Ki;0.16;9.8;444.36;5.83
CHEMBL2063238;CC(C)C(=O)N[C@H]1CCCOc2c1nn(c3ccccc3Cl)c2c4ccc(Cl)cc4;Ki;5.1;8.29;444.36;5.83
CHEMBL118631;CCCCCCC1(CC1(Br)Br)c2cc(O)c3[C@@H]4CC(=CC[C@H]4C(C)(C)Oc3c2)C;Ki;0.7079;9.15;526.35;8.1
CHEMBL428579;Fc1ccc(cc1F)C(=O)Nc2nc(c3ccc(Cl)cc3Cl)c(cc2C#N)c4ccc(Cl)cc4;IC50;20;7.7;514.75;7.78
CHEMBL248109;Clc1ccc(cc1)c2cc(C#N)c(nc2c3ccc(Cl)cc3Cl)N4CCCCC4;IC50;19;7.72;442.78;7.24
CHEMBL376794;C[C@H](NC(=O)C(C)(C)Oc1cc(ccn1)C(F)(F)F)[C@@H](Cc2ccc(OCCF)cc2)c3cccc(c3)C#N;IC50;0.77;9.11;543.56;6.01
CHEMBL226684;COc1ccc(C[C@H]([C@H](C)NC(=O)C(C)(C)Oc2ccc(cn2)C(F)(F)F)c3cc(F)cc(c3)C#N)cc1;IC50;0.9;9.05;529.53;5.81
CHEMBL576549;Cc1c(nn(c2ccc(Cl)c(Cl)c2)c1n3cccc3)C(=O)NC4CCCCCC4;Ki;5.6;8.25;431.37;5.73
CHEMBL579249;Cc1c(nn(c2ccc(Cl)c(Cl)c2)c1n3c(C)ccc3C)C(=O)NC4CCCCCC4;Ki;12;7.92;459.42;6.35
CHEMBL250768;O=C(NC1CCCCCC1)C2=CN(Cc3ccccc3)c4ccccc4C2=O;Ki;17;7.77;374.48;4.5
CHEMBL576366;Cc1c(nn(c2ccc(Cl)cc2Cl)c1n3cccc3)C(=O)NCCc4ccc(Cl)cc4;Ki;70;7.16;473.79;5.9
CHEMBL230783;Cc1c2C(=O)N(CCc2n(c1c3ccc4OCOc4c3)c5ccc(Cl)cc5Cl)C6CCCCC6;IC50;12;7.92;497.42;6.82
CHEMBL396798;Cc1c2C(=O)N(CCc2n(c1c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl)C5CCCCC5;Ki;7.5;8.12;487.86;7.74
CHEMBL1224690;CCCCCC1=NN(CC1c2ccccc2)C(=O)Nc3cccc4ccccc34;Ki;7.4;8.13;385.51;6.41
CHEMBL230678;COc1cccc(c1)c2c(C)c3C(=O)N(CCc3n2c4ccc(Cl)cc4Cl)C5CCCCC5;IC50;6.8;8.17;483.44;7.1
CHEMBL387783;Cc1cccc(c1)c2c(C)c3C(=O)N(CCc3n2c4ccc(Cl)cc4Cl)C5CCCCC5;IC50;17;7.77;467.44;7.4
CHEMBL387782;Cc1c2C(=O)N(CCc2n(c1c3ccc(C=C)cc3)c4ccc(Cl)cc4Cl)C5CCCCC5;Ki;9.8;8.01;479.45;7.73
CHEMBL231098;Cc1ccccc1n2c3CCN(C4CCCCC4)C(=O)c3c(C)c2c5ccc(F)cc5;IC50;40;7.4;416.54;6.23
CHEMBL381492;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)c4cccc5ccccc45;Ki;11.75;7.93;370.49;6.82
CHEMBL205888;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C4(CCCCC4)C#N;Ki;8.318;8.08;351.49;5.73
CHEMBL138917;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C(C)(C)CCCCCC#N;Ki;0.2;9.7;381.56;6.75
CHEMBL230062;C[C@H](NS(=O)(=O)c1cccc(Cl)c1Cl)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;10.7;7.97;493.84;6.21
CHEMBL121174;CCCCC\C=C/C\C=C/C\C=C/C\C=C/CC[C@@H](C)C(=O)N[C@H](C)CO;Ki;7.42;8.13;375.6;5.88
CHEMBL231636;C[C@H](NC(=O)C(C)(C)Oc1cncc(c1)C(F)(F)F)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;0.3;9.52;515.96;6.31
CHEMBL2016599;CC(C)(NC(=O)C1=CC2=C(CCCCCC2)N(CC3CCCCC3)C1=O)C(=O)NCC(=O)N;Ki;11;7.96;458.6;2.2
