Molecule;Canonical Smiles;Standard Type;Standard Value;pChEMBL Value;Molecular Weight;ALogP
CHEMBL159524;COCCC\C=C\Cc1cc(O)c2C3CC(=CCC3C(C)(C)Oc2c1)C;Kd;11.5;7.94;356.51;5.53
CHEMBL125061;CCCCCCC(C)(C)c1ccc(c(O)c1)c2cc(C)ccc2C(C)C;Ki;33;7.48;352.56;7.74
CHEMBL583855;CCc1c(nc(c2ccccc2Cl)n1c3ccc(Cl)cc3)C(=O)NN4CCCCC4;Ki;14;7.85;443.38;5.54
CHEMBL576673;Clc1ccc(cc1)C2=NN(CC2c3ccccc3)\C(=N\S(=O)(=O)c4ccc(Cl)cc4)\NCCCCN5CCCC5;Ki;27;7.57;598.6;6.01
CHEMBL569547;CC(C)(O)CN\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4;Ki;43;7.37;545.49;4.9
CHEMBL57802;CCCCCCC(C)(C)c1cc(O)c2[C@@H]3CC(=C)CC[C@H]3C(C)(C)Oc2c1;Ki;1.82;8.74;370.58;7.25
CHEMBL2177259;CCCCCc1cc(OC)c2C=C(Cc3ccccc3Cl)C(=O)Oc2c1;Ki;33;7.48;370.88;5.78
CHEMBL175650;Cc1c(nc(c2ccc(Cl)cc2Cl)n1c3ccc(Cl)cc3)C(=O)NC4CCCCC4;Ki;35;7.46;462.81;6.87
CHEMBL175292;Cc1c(nc(c2ccc(Cl)cc2Cl)n1c3ccc(Br)cc3)C(=O)NN4CCCCC4;Ki;60;7.22;508.25;6.05
CHEMBL230800;CCc1c(nc(c2ccccc2Cl)n1c3ccc(Cl)cc3)C(=O)N[C@H]4CCCC[C@@H]4O;Ki;5;8.3;458.39;5.44
CHEMBL229914;O[C@H]1CCCC[C@@H]1NC(=O)c2cn(c3ccc(Cl)cc3)c(n2)c4ccccc4Cl;Ki;29;7.54;430.33;4.88
CHEMBL497304;Cc1ccc2C(=O)C(=CN(Cc3ccc(F)cc3)c2n1)C(=O)NC4CCCCC4;Ki;15;7.82;393.46;3.95
CHEMBL474602;Fc1ccccc1CNC(=O)Cn2nc(c3ccc(Cl)cc3Cl)c(n2)c4ccc(Cl)cc4Cl;EC50;23.5;7.63;524.21;6.68
CHEMBL3114341;Fc1ccc(CN2C=C(C=C(C(=O)NC3CCCCCC3)C2=O)c4ccc(F)cc4)cc1;Ki;24;7.62;436.5;5.29
CHEMBL182948;CCCCOc1nc(c2ccc(Cl)cc2Cl)c(cc1C(=O)NC)c3ccc(Cl)cc3;IC50;17;7.77;463.79;6.91
CHEMBL108085;CCCCCCC1(OCCO1)c2cc(O)c3[C@@H]4CC(=CC[C@H]4C(C)(C)Oc3c2)C;Ki;0.52;9.28;400.56;6.17
CHEMBL523872;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(C#CCOc4ccccc4)s3)C(=O)NN5CCCCC5;EC50;18.7;7.73;565.53;6.78
CHEMBL522824;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(C#CCCc4ccccc4)s3)C(=O)NN5CCCCC5;EC50;20.4;7.69;563.55;7.33
CHEMBL494300;CCCCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NC4CCCCC4;EC50;43.9;7.36;514.52;7.82
CHEMBL517116;CCc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(C#CCC(C)C)s3)C(=O)NN4CCCCC4;EC50;23;7.64;529.54;7
CHEMBL494728;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(C#CC4CCCCC4)s3)C(=O)NN5CCCCC5;IC50;7.3;8.14;541.55;7.28
CHEMBL111;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4;Ki;10.6;7.97;463.8;5.94
CHEMBL462070;CCCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;1.2;8.92;501.48;6.5
CHEMBL461429;CCCCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CC5CCCC5C4;IC50;1.3;8.89;541.55;7.13
CHEMBL231201;Cc1c2C(=O)N(CCc2n(c1c3ccc(Cl)cc3)c4ccccc4Cl)N5CCCCC5;Ki;3.5;8.46;454.4;6.16
CHEMBL387609;Cc1ccccc1n2c3CCN(C4CCCCC4)C(=O)c3c(C)c2c5ccc(cc5)C(F)(F)F;IC50;9.3;8.03;466.55;7.11
CHEMBL492860;CCOCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;12.7;7.9;517.48;5.73
CHEMBL376700;Clc1ccc(c(Cl)c1)n2nc(C(=O)NN3CCCCC3)c4CCCc5cc(Cl)ccc5c24;Ki;5.55;8.26;489.83;6.12
CHEMBL460131;CCCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CC5CCCC5C4;EC50;19.2;7.72;527.52;6.74
CHEMBL493302;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(C#CC4CCCC4)s3)C(=O)NN5CCCCC5;IC50;7.1;8.15;527.52;6.89
CHEMBL493916;Cc1c(nn(c1c2ccc(C#CC3CC3)s2)c4ccc(Cl)cc4Cl)C(=O)NN5CCCCC5;IC50;60.4;7.22;499.47;6.11
CHEMBL523550;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(C#CC(C)(C)C)s3)C(=O)NN4CC5CCCC5C4;IC50;21.7;7.66;541.55;6.99
CHEMBL460573;CCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;65.4;7.18;487.46;6.11
CHEMBL481716;CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3ccc(N(C)C)c4ccccc34;Ki;4.9;8.31;427.64;5.82
CHEMBL519635;CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3ccc(c4ccccc34)[N+](=O)[O-];Ki;14;7.85;429.57;5.67
CHEMBL558709;Clc1ccc(cc1)[C@@H](OC2CN(C2)C(=O)N3CCCCC3)c4cccnc4Cl;Ki;7;8.15;420.34;4.78
CHEMBL157591;C\N=C(/NS(=O)(=O)c1cccc(c1)C(F)(F)F)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4;Ki;36.5;7.44;520.96;5.13
CHEMBL374291;CC(NC(=O)C(C)(C)Oc1ccc(Cl)cc1)C(Cc2ccc(Cl)cc2)c3ccc(Cl)cc3;IC50;20;7.7;490.86;7.34
CHEMBL218649;C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc2ccc(Cl)cc2)c3ccccc3;IC50;3;8.52;456.41;6.68
CHEMBL574036;Cc1ccc(C)n1c2c(C)c(nn2c3ccc(F)cc3F)C(=O)NCCc4ccc(Cl)cc4Cl;Ki;41;7.39;503.38;6.15
CHEMBL575401;Cc1c(nn(c2ccc(F)cc2F)c1n3cccc3)C(=O)NCCc4ccc(Cl)cc4;Ki;80;7.1;440.88;4.88
CHEMBL575395;Cc1ccc(C)n1c2c(C)c(nn2c3ccc(Cl)c(Cl)c3)C(=O)NC4CCCC4;Ki;36;7.44;431.37;5.57
CHEMBL181720;Clc1ccc(cc1)c2ccc(nc2c3ccc(Cl)cc3Cl)C(=O)NC4CCCC4;IC50;53;7.28;445.78;7.05
CHEMBL3323672;CCCCCc1cc(O)cc(OCCCCCCCC(=O)N[C@H](C)CO)c1;Ki;12.8;7.89;379.54;4.34
CHEMBL205908;CCCc1ccc(cc1)c2cc(O)c3[C@@H]4CC(=CC[C@H]4C(C)(C)Oc3c2)C;Ki;57.54;7.24;362.51;6.62
CHEMBL520509;CC(C)CCNC(=O)c1ccc2Sc3ccccc3C(=Nc2c1)c4ccccn4;Ki;1.585;8.8;401.54;5.49
CHEMBL474488;CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)N[C@@H]1C[C@@H]1O;Ki;14;7.85;359.55;5.38
CHEMBL485369;CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)N[C@H]1C[C@@H]1O;Ki;28;7.55;359.55;5.38
CHEMBL389203;Clc1ccc(c(Cl)c1)n2nc(C(=O)NN3CCCCC3)c4CCc5cc(Cl)ccc5c24;Ki;15;7.82;475.81;5.73
CHEMBL484504;Cc1c(nn(c1c2ccc(Cl)cc2Cl)c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;Ki;17.9;7.75;498.24;6.59
CHEMBL351123;C\N=C(/NS(=O)(=O)c1ccc2ccccc2c1)\N3CC(C(=N3)c4ccc(Cl)cc4)c5ccccc5;Ki;21.8;7.66;503.03;5.26
CHEMBL520345;CCC(F)(F)CN1CCOc2c(nn(c2c3ccc(Cl)cc3)c4ccccc4Cl)C1=O;Ki;1.4;8.85;466.32;5.73
CHEMBL201571;CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)c5ccccc15;Ki;42;7.38;392.54;4.89
CHEMBL475772;CSC(=O)N1CC2(CCCCC2)CS/C/1=N\c3cccc4ccccc34;Ki;49;7.31;384.57;6.31
CHEMBL521084;Fc1ccc(F)c(CNC(=O)Cn2nc(c3ccc(Cl)cc3Cl)c(n2)c4ccc(Cl)cc4Cl)c1;IC50;22.6;7.65;542.2;6.82
CHEMBL474424;Clc1ccc(c(Cl)c1)c2nn(CC(=O)NCc3ccccc3)nc2c4ccc(Cl)cc4Cl;EC50;87;7.06;506.22;6.54
CHEMBL482153;Fc1cccc(CNC(=O)Cn2nc(c3ccc(Cl)cc3Cl)c(n2)c4ccc(Cl)cc4Cl)c1;IC50;25.7;7.59;524.21;6.68
CHEMBL489251;CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCCCCC(=O)NC2CC2)c1;Ki;21;7.68;459.72;7.81
CHEMBL484887;CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCC(=O)NCC2CC2)c1;Ki;100;7;431.66;6.89
CHEMBL519575;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C(C)(C)c4cccs4;Ki;1.08;8.97;368.54;6.39
CHEMBL408123;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(Cc4ccccc4)cc3OC2(C)C;Ki;67.6;7.17;334.46;5.59
CHEMBL258243;Cc1ccc(cc1S(=O)(=O)N2CCOCC2)C(=O)NCC34CC5CC(CC(C5)C3)C4;Ki;91;7.04;432.59;2.96
CHEMBL255096;Cc1ccc(cc1S(=O)(=O)N2CCOCC2)C(=O)N[C@H]3CC4CC[C@@]3(C)C4(C)C;Ki;50;7.3;420.58;2.96
CHEMBL256110;Cc1ccc(cc1S(=O)(=O)N2CCOCC2)C(=O)NC3C4CC5CC(CC3C5)C4;Ki;33;7.48;418.56;2.57
CHEMBL371829;C\N=C(/NS(=O)(=O)N(C)C(C)C)\N1CC(C(=N1)c2ccc(Cl)cc2)c3ccccc3;Ki;32;7.5;447.99;3.3
CHEMBL484505;Cc1cc(Cl)ccc1c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;Ki;5.83;8.23;477.82;6.25
CHEMBL119592;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C(C)(C)c4ccccc4;Ki;12.3;7.91;362.51;6.33
CHEMBL1224691;CCCCCC1=NN(CC1c2ccccc2)C(=O)NC(C)(C)c3ccccc3;Ki;3.26;8.49;377.53;5.67
CHEMBL1224689;CCCCCC1=NN(CC1c2ccccc2)C(=O)NCc3ccccc3;Ki;51;7.29;349.48;4.93
CHEMBL1224688;CCCCCC1=NN(CC1c2ccccc2)C(=O)NCC3CCCCC3;Ki;15.3;7.82;355.53;5.31
CHEMBL1224687;CCCCCC1=NN(CC1c2ccccc2)C(=O)NCC34CC5CC(CC(C5)C3)C4;Ki;16.1;7.79;407.6;5.95
CHEMBL217862;C[C@H](NC(=O)C(C)(C)Oc1ccccc1)[C@@H](Cc2ccc(Cl)cc2)c3ccccc3;IC50;2.03;8.69;421.97;6.03
CHEMBL523100;O=C(C1CCCCC1)N2CCN(CC2)S(=O)(=O)c3cccc4ccccc34;IC50;95;7.02;386.52;3.25
CHEMBL50925;Brc1ccc(cc1)C2(NC(=O)N(CCN3CCOCC3)C2=O)c4ccc(Br)cc4;Ki;70.3;7.15;523.23;3.34
CHEMBL482356;CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3ccc(Cl)c4ccccc34;Ki;3.4;8.47;419.02;6.41
CHEMBL480541;Clc1ccc(CNC(=O)Cn2nc(c3ccc(Cl)cc3Cl)c(n2)c4ccc(Cl)cc4Cl)cc1;EC50;17.8;7.75;540.67;7.2
CHEMBL481888;CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3ccc(C#N)c4CCCCc34;Ki;101;7;413.61;5.36
CHEMBL3951226;COc1ccc(\C=C\2/CN(Cc3c(nn(c4ccc(Cl)cc4Cl)c23)C(=O)N[C@H](C)c5ccccn5)C(=O)CC(=O)O)cc1;EC50;11;7.96;620.49;5.43
CHEMBL3915613;C[C@@H](NC(=O)c1nn(c2ccc(Cl)c(Cl)c2)c3\C(=C\c4ccc(Cl)cc4)\CN(Cc13)C(=O)Cn5cncn5)c6ccccn6;EC50;6;8.22;647.95;5.89
CHEMBL3947225;C[C@@H](NC(=O)c1nn(c2ccc(Cl)cc2Cl)c3\C(=C\c4ccc(F)cc4)\CN(Cc13)C(=O)Cn5cnnn5)c6ccccn6;EC50;6;8.22;632.49;4.77
CHEMBL476232;COc1ccc(cc1)c2c(C#N)c(nn2c3ccc(F)cc3Cl)C(=O)NN4CCCCC4;Ki;13;7.89;453.91;4.34
CHEMBL371167;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C4C5CC6CC(CC4C6)C5;Ki;34.9;7.46;378.56;6.54
CHEMBL489437;CC(C(=O)N1CCN(CC1)S(=O)(=O)c2cc(Cl)cc(Cl)c2)c3ccc(cc3)C(F)(F)F;IC50;20;7.7;495.35;4.65
CHEMBL487294;FC(F)(F)c1ccc(cc1)[C@@H]2C[C@H]2C(=O)N3CCN(CC3)S(=O)(=O)c4cc(cc(c4)C(F)(F)F)n5cncn5;IC50;7;8.15;573.52;3.94
CHEMBL487091;FC(F)(F)c1ccc(cc1)[C@@H]2C[C@H]2C(=O)N3CCN(CC3)S(=O)(=O)c4cc(cc(c4)C(F)(F)F)n5nccn5;IC50;0.6;9.22;573.52;3.94
CHEMBL512531;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C(C)(C)c4cccc(F)c4;Ki;5.26;8.28;380.5;6.47
CHEMBL471296;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C(C)(C)c4cc(C)cc(C)c4;Ki;11;7.96;390.57;6.95
CHEMBL521277;Fc1ccc(CNC(=O)Cn2nc(c3ccc(Cl)cc3Cl)c(n2)c4ccc(Cl)cc4Cl)cc1;IC50;11.6;7.94;524.21;6.68
CHEMBL522114;FC(F)(F)c1ccc(cc1)C(=O)N2CCN(CC2)S(=O)(=O)c3cc(cc(c3)C(F)(F)F)C4CC4;IC50;47;7.33;506.47;4.75
CHEMBL477004;COc1ccc(cc1)c2c(C#N)c(nn2c3ccc(F)cc3Br)C(=O)NN4CCCCC4;Ki;32;7.5;498.36;4.45
CHEMBL570623;CN(C)CCN1CCN(CC1)\C(=N/S(=O)(=O)c2ccc(Cl)cc2)\N3CC(C(=N3)c4ccc(Cl)cc4)c5ccccc5;Ki;9.6;8.02;613.61;4.72
CHEMBL571730;Clc1ccc(cc1)C2=NN(CC2c3ccccc3)\C(=N\S(=O)(=O)c4ccc(Cl)cc4)\NCCCCNc5c6CCCCc6nc7ccccc57;Ki;42;7.38;725.75;8.45
CHEMBL570159;CCc1c(nc(c2ccccc2Cl)n1c3ccc(Cl)cc3)C(=O)NCCCCNc4c5CCCCc5nc6ccccc46;Ki;48;7.32;612.61;8.46
CHEMBL3799603;Clc1cccc(N2CCN(CCCCNC(=O)Oc3ccccc3)CC2)c1Cl;EC50;40;7.4;422.36;4.68
CHEMBL1641956;CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C=C1c5ccccc5Cl;Ki;34.4;7.46;453.03;6.06
CHEMBL582820;C[C@H](NC(=O)C(C)(C)Nc1cc(on1)C(C)(C)C)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;8.6;8.07;493.05;6.22
CHEMBL1224629;CCCCCC1=NN(CC1c2ccccc2)C(=O)NC34CC5CC(CC(C5)C3)C4;Ki;68;7.17;393.58;5.7
CHEMBL1223589;CCCCC1=NN(CC1c2ccccc2)C(=O)NC(C)(C)c3ccccc3;Ki;14.2;7.85;363.51;5.28
CHEMBL567876;C[C@H](NC(=O)C(C)(C)Nc1cc(C)ccn1)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;37.7;7.42;461.01;5.64
CHEMBL2152811;CCCN1C=C(C(=O)N[C@H]2[C@]3(C)CCC(C3)C2(C)C)C(=O)c4ccc(Sc5ccccc5)cc14;Ki;11;7.96;474.67;6.51
CHEMBL947;CCCCCCC(C)(C)c1cc(O)c2[C@@H]3CC(=O)CC[C@H]3C(C)(C)Oc2c1;Ki;2.19;8.66;372.55;6.26
CHEMBL418555;CCCCCCC(=O)c1cc(O)c2[C@@H]3CC(=CC[C@H]3C(C)(C)Oc2c1)C;Ki;21.7;7.66;356.51;6.16
CHEMBL269851;COc1ccc2c(cn(CC3CCOCC3)c2c1)C(=O)C4C(C)(C)C4(C)C;Ki;40;7.4;369.51;4.94
CHEMBL2152816;COCCN1C=C(C(=O)N[C@H]2[C@]3(C)CCC(C3)C2(C)C)C(=O)c4ccc(Sc5ccccc5)cc14;Ki;23.8;7.62;490.67;5.74
CHEMBL2152823;CCCCCN1C=C(C(=O)NC(CC)CO)C(=O)c2ccc(Sc3ccccc3)cc12;Ki;58.2;7.24;438.59;4.84
CHEMBL2180209;CCCCNC(=O)NC1CCN(CC1)c2ncnc3c2nc(c4ccccc4Cl)n3c5ccc(Cl)cc5;Ki;25;7.6;538.48;5.86
CHEMBL410441;CC1(C)C(C(=O)c2cn(CC3CCOCC3)c4cc(ccc24)C(F)(F)F)C1(C)C;Ki;69.18;7.16;407.48;5.95
CHEMBL409669;CC1(C)C(C(=O)c2cn(CC3CCOCC3)c4c(F)c(F)c(F)c(F)c24)C1(C)C;Ki;66.07;7.18;411.44;5.49
CHEMBL271158;CC1(C)C(C(=O)c2cn(CC3CCOCC3)c4ccccc24)C1(C)C;Ki;12.3;7.91;339.48;4.93
CHEMBL270546;CC1(C)C(C(=O)c2cn(CC3CCOCC3)c4cc(OCc5ccccc5)ccc24)C1(C)C;Ki;33.11;7.48;445.6;6.51
CHEMBL269851;COc1ccc2c(cn(CC3CCOCC3)c2c1)C(=O)C4C(C)(C)C4(C)C;Ki;39.81;7.4;369.51;4.94
CHEMBL1269771;CN(CCCCCCCCCNC(=O)c1nn(c(c1C)c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)CCCCCCCCCNC(=O)c4nn(c(c4C)c5ccc(Cl)cc5)c6ccc(Cl)cc6Cl;Ki;94.1;7.03;1040.84;
CHEMBL1269019;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NCCCNCCCNC(=O)c4nn(c5ccc(Cl)cc5Cl)c(c4C)c6ccc(Cl)cc6;Ki;41.9;7.38;858.48;10.46
CHEMBL1269768;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NCCCCCCCCCCCNCCCCCCCCCCCNC(=O)c4nn(c5ccc(Cl)cc5Cl)c(c4C)c6ccc(Cl)cc6;Ki;99.3;7;1082.92;
CHEMBL498527;CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)c5ccc(Sc6ccccc6)cc15;Ki;5.3;8.28;500.71;7.04
CHEMBL2152828;CCCCCN1C=C(C(=O)NCCN2CCOCC2)C(=O)c3ccc(Sc4ccccc4)cc13;Ki;63.2;7.2;479.65;4.4
CHEMBL361519;FC(F)(F)c1ccc(COc2nc(c3ccc(Cl)cc3Cl)c(cc2C#N)c4ccc(Cl)cc4)cc1;IC50;3.4;8.47;533.76;8.85
CHEMBL369097;Cn1c(nc(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4;IC50;6.1;8.21;463.8;5.85
CHEMBL360104;CCNC(=O)c1cc(c2ccc(Cl)cc2)c(nc1OCc3ccc(F)c(F)c3)c4ccc(Cl)cc4Cl;IC50;1.9;8.72;547.82;7.98
CHEMBL362192;FCCNC(=O)c1cc(c2ccc(Cl)cc2)c(nc1OCc3ccc(F)c(F)c3)c4ccc(Cl)cc4Cl;IC50;1.5;8.82;565.81;7.93
CHEMBL359500;CCCNC(=O)c1cc(c2ccc(Cl)cc2)c(nc1Cl)c3ccc(Cl)cc3Cl;IC50;52;7.28;454.18;7.17
CHEMBL178243;CCCCCCNC(=O)c1cc(c2ccc(Cl)cc2)c(nc1Cl)c3ccc(Cl)cc3Cl;IC50;58;7.24;496.27;8.34
CHEMBL180648;Clc1ccc(cc1)c2ccc(nc2c3ccc(Cl)cc3Cl)C(=O)NC4CCCCC4;IC50;95;7.02;459.8;7.44
CHEMBL1631162;CCCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)n3cccc3;Ki;81;7.09;405.33;5.2
CHEMBL306529;CCCCCn1c(C)c(C(=O)c2cccc3ccccc23)c4ccccc14;Ki;9.5;8.02;355.48;6.52
CHEMBL2177257;CCCCCc1cc(OC)c2C=C(Cc3ccccc3OC)C(=O)Oc2c1;Ki;32;7.5;366.46;5.13
CHEMBL1081285;CN\C(=N/S(=O)(=O)N1CCCCC1)\N2C[C@@H](C(=N2)c3ccc(Cl)cc3)c4ccccc4;Ki;58;7.24;460;3.45
CHEMBL497681;CCCCCN1C=C(C(=O)N[C@H](C)c2ccccc2)C(=O)c3ccc(OCC)cc13;Ki;29.7;7.53;406.53;5.08
CHEMBL272203;Cc1c(nn(c2ccc(Cl)c(Cl)c2)c1n3cccc3)C(=O)NC4CCCCC4;Ki;5.6;8.25;417.34;5.34
CHEMBL1269775;CN(CCCCCCCCCN)CCCCCCCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)c3ccc(Cl)cc3;Ki;10;8;677.2;9.89
CHEMBL1269770;CN(CCCCCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)c3ccc(Cl)cc3)CCCCCCCNC(=O)c4nn(c5ccc(Cl)cc5Cl)c(c4C)c6ccc(Cl)cc6;Ki;27.5;7.56;984.73;13.92
CHEMBL294472;CCCCCCC(C)(C)c1cc(O)c2[C@H]3CC(=CC[C@@H]3C(C)(C)Oc2c1)C=O;Ki;97;7.01;384.56;6.43
CHEMBL158700;C\N=C(/NC(=O)c1ccc(Cl)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4;Ki;70.6;7.15;451.36;5.21
CHEMBL158138;CN\C(=N/S(=O)(=O)c1ccc(OC)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4;Ki;22.9;7.64;482.99;4.12
CHEMBL1224536;CC(C)(O)CC(=O)Nc1ccc2ccn(Cc3cccc(n3)c4cccc5OCOc45)c2c1;IC50;3;8.52;443.5;4.58
CHEMBL233180;CCCCCCC(C)(C)c1ccc(c2cc(C)cc(C)c2)c(c1)C(=O)OC;Ki;2.7;8.57;366.55;7.01
CHEMBL234678;CCCCCCC(C)(C)c1ccc(c(O)c1)c2ccccc2OC;Ki;1.7;8.77;326.48;6.32
CHEMBL230801;CCCc1c(nc(c2ccccc2Cl)n1c3ccc(Cl)cc3)C(=O)N[C@H]4CCCC[C@@H]4O;Ki;5.7;8.24;472.42;5.83
CHEMBL229966;O[C@@H]1CCC[C@H]1NC(=O)c2cn(c3ccc(Cl)cc3)c(n2)c4ccccc4Cl;Ki;75;7.12;416.31;4.49
CHEMBL578421;CN\C(=N/S(=O)(=O)N1CCC(F)(F)CC1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4;Ki;12.2;7.91;495.98;3.69
CHEMBL138772;CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C(C)(C)CCCCC(=O)NN4CCCCC4;Ki;1.2;8.92;468.68;6.36
CHEMBL577384;CN\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\N2CCC(C(=N2)c3ccc(Cl)cc3)c4ccccc4;Ki;43;7.37;501.44;5.15
CHEMBL575680;CN\C(=N/S(=O)(=O)N1CCCCC1)\N2CCC(C(=N2)c3ccc(Cl)cc3)c4ccccc4;Ki;74;7.13;474.03;3.84
CHEMBL2153664;CC(CN\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4)C(=O)N;IC50;26;7.58;558.49;4.25
CHEMBL2153761;COc1ccc(cc1)S(=O)(=O)\N=C(/N[C@@H](C)C(=O)N)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4;IC50;70;7.16;540.05;3.36
CHEMBL2153763;COc1cccc(c1)S(=O)(=O)\N=C(/N[C@@H](C(C)C)C(=O)N)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4;IC50;4;8.4;568.1;4
CHEMBL2153766;C[C@H](NC(=O)[C@H](C)N\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4)C(=O)N;IC50;27;7.57;615.54;3.51
CHEMBL2163942;O=C(NC1CCCCCC1)C2=CN3C(COc4cccc(C2=O)c34)C5CC5;Ki;91;7.04;366.46;3.8
CHEMBL1088507;CSc1c(nc(c2ccc(Cl)cc2Cl)n1c3ccc(Cl)cc3)C(=O)NN4CCCCCC4;Ki;12;7.92;509.89;6.74
CHEMBL1088376;CSc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCCC4;Ki;27;7.57;509.89;6.74
CHEMBL442275;CNN(C)C(=O)c1cc(c2ccc(Cl)cc2)c(nc1Oc3ccc(F)c(F)c3)c4ccc(Cl)cc4Cl;IC50;80;7.1;548.8;7.65
CHEMBL1082330;CN1c2nc(c(cc2C(CC1(C)C)C(=O)NCO)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl;IC50;76;7.12;504.85;6.14
CHEMBL245959;C[C@H](NS(=O)(=O)C(F)(F)F)c1ccc(cc1)S(=O)(=O)c2ccccc2S(=O)(=O)c3ccccc3F;Ki;25;7.6;551.56;3.99
CHEMBL228404;CCCCCc1cc(O)cc(OCCCCCCCCCCCC(=O)NCCO)c1;Ki;60;7.22;421.62;5.51
CHEMBL410247;Fc1ccc(c(F)c1)C2(Oc3cc(F)c(cc3O2)S(=O)(=O)N4CCOCC4)c5ccc(F)cc5F;EC50;11;7.96;513.44;4.08
CHEMBL408427;Fc1ccccc1C2(Oc3cc(F)c(cc3O2)C(=O)N4CCOCC4)c5ccc(Cl)cc5Cl;EC50;2;8.7;492.31;5.42
CHEMBL259654;Fc1ccc(c(F)c1)C2(Oc3cc(F)c(cc3O2)C(=O)N4CCC(F)(F)CC4)c5ccc(F)cc5F;EC50;2;8.7;511.39;5.93
CHEMBL258539;Fc1ccc(cc1)[C@@]2(Oc3cc(F)c(cc3O2)C(=O)N4CCOCC4)c5ccc(Cl)cc5Cl;EC50;8;8.1;492.31;5.42
