Canonical Smiles;Standard Type;Standard Value;pChEMBL Value;Molecular Weight;ALogP
COCC(=O)NC1=C(C(=O)C)C(=O)N(C)c2nc(c3ccc(Cl)cc3Cl)c(cc12)c4ccc(Cl)cc4;IC50;24;7.62;544.82;6.02
CC(=O)NC1=C(C(=O)C)C(=O)N(Cc2ccccc2)c3nc(c4ccc(Cl)cc4Cl)c(cc13)c5ccc(Cl)cc5;IC50;2.3;8.64;590.89;7.9
Cn1c(nc(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NC4CCCCC4;IC50;4;8.4;462.81;6.78
CCCCCCNC(=O)c1cnc(c2ccc(Cl)cc2Cl)c(c1)c3ccc(Cl)cc3;IC50;65;7.19;461.82;7.69
Cn1c(nc(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;16;7.8;498.24;6.5
Fc1ccc(cc1)C2CCN(CC2)C(=O)c3nn(c4ccccc4Cl)c(c3CC#N)c5ccc(Cl)cc5;IC50;1;9;533.43;7.07
Fc1ccc(cc1)C2CCCCN2C(=O)c3nn(c4ccccc4Cl)c(c3CC#N)c5ccc(Cl)cc5;IC50;23;7.64;533.43;7.42
Clc1ccc(cc1)c2c(CC#N)c(nn2c3ccccc3Cl)C(=O)N4CCc5ccccc5C4;IC50;5.7;8.24;487.39;6.11
Fc1ccc(CO[C@@H]2CCN(C2)C(=O)c3nn(c4ccccc4Cl)c(c3CC#N)c5ccc(Cl)cc5)cc1;IC50;20;7.7;549.43;6.48
CS(=O)(=O)C1CCN(CC1)C(=O)c2nn(c3ccccc3Cl)c(c2CC#N)c4ccc(Cl)cc4;IC50;17;7.77;517.44;4.56
COC(=O)c1ccccc1C2CCN(CC2)C(=O)c3nn(c4ccccc4Cl)c(c3CC#N)c5ccc(Cl)cc5;IC50;2.2;8.66;573.48;6.72
Clc1ccc(CNC(=O)c2nn(c3ccccc3Cl)c(c2CC#N)c4ccc(Cl)cc4)cc1;IC50;1.2;8.92;495.8;6.5
Clc1ccc(cc1)c2c(CC#N)c(nn2c3ccccc3Cl)C(=O)NCc4cccc(Cl)c4;IC50;2.6;8.59;495.8;6.5
Fc1cc(Br)ccc1CNC(=O)c2nn(c3ccccc3Cl)c(c2CC#N)c4ccc(Cl)cc4;IC50;0.51;9.29;558.24;6.74
Fc1ccc(cc1)C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccc(Cl)cc4Cl;IC50;8.1;8.09;464.41;5.88
COc1cccc2c(cn(CC3CCCCC3)c12)C(=O)N4CCN5CCCC[C@@H]5C4;EC50;100;7;409.57;4.54
COc1cccc2c(cn(CC3CCCCC3)c12)C(=O)N4C[C@@H]5CCCN5CC4(C)C;EC50;100;7;423.6;4.93
CC1(C)CC(NC(=O)C(F)(F)CO)c2cc(c3ccc(Cl)cc3)c(nc2O1)c4ccc(Cl)cc4Cl;IC50;0.6;9.22;541.81;6.72
Cc1n[nH]cc1C(=O)N[C@@H]2CC(C)(C)Oc3nc(c4ccc(Cl)cc4Cl)c(cc23)c5ccc(Cl)cc5;IC50;0.3;9.52;541.87;7.44
CC1(C)C[C@@H](NC(=O)c2ccc3[nH]ncc3c2)c4cc(c5ccc(Cl)cc5)c(nc4O1)c6ccc(Cl)cc6Cl;IC50;0.6;9.22;577.9;8.28
CC1(C)C[C@@H](NC(=O)CC(O)(C(F)(F)F)C(F)(F)F)c2cc(c3ccc(Cl)cc3)c(nc2O1)c4ccc(Cl)cc4Cl;IC50;1.1;8.96;641.82;8.34
Clc1ccc(cc1)c2ccc(nc2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;56;7.25;460.79;6.51
C[S+]([O-])Cc1ccc(C(=O)Nc2nccnc2C(=O)NCC3CCC3)c4ccccc14;IC50;37;7.43;436.54;3.29
C[S+]([O-])Cc1ccc(C(=O)Nc2nccnc2C(=O)NCC3CCC3)c4ccccc14;IC50;47;7.33;436.54;3.29
COc1ccc(NC(=O)c2ccc(Cn3ccnn3)c4ccccc24)c(n1)C(=O)NCC5CCCCC5;IC50;0.85;9.07;498.59;4.45
O=C(Nc1cccnc1C(=O)NCC2CCCCC2)c3cccc4ccccc34;IC50;10;8;387.48;4.8
O=C(NCC1CCC1)c2ncccc2NC(=O)c3ccc(Cn4cccn4)c5ccccc35;EC50;23;7.64;439.52;4.26
O=C(Nc1cccnc1C(=O)NCC2CCOCC2)c3cccc4ccccc34;EC50;81;7.09;389.46;3.64
C[C@@H](O)[C@H](N\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4)C(=O)N[C@@H](CO)C(=O)N;IC50;7;8.15;661.57;1.84
NC(=O)c1cc(c2ccc(Cl)cc2)c(nc1Oc3ccc(F)c(F)c3)c4ccc(Cl)cc4Cl;IC50;11;7.96;505.74;7.55
Clc1ccc(cc1)c2cc(C#N)c(nc2c3ccccc3Cl)c4cncnc4;IC50;38;7.42;403.27;6.05
COCc1nc(c2ccc(Cl)cc2)c(nc1C(=O)NC3CCC(F)(F)CC3)c4ccc(Cl)cc4;IC50;2.9;8.54;506.38;6.57
COC(=O)C(Cc1ccccc1)NC(=O)c2nn(c3ccccc3Cl)c(c2CC#N)c4ccc(Cl)cc4;IC50;1.2;8.92;533.42;5.43
COC(=O)C(NC(=O)c1nn(c2ccccc2Cl)c(c1CC#N)c3ccc(Cl)cc3)C(C)C;IC50;7.3;8.14;485.37;4.84
NC(=N)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)NCc4ccc(F)cc4;IC50;1.2;8.92;496.37;5.39
