Canonical Smiles,Standard Type,Standard Value,Standard Units,pChEMBL Value,#Ro5 Violations,Molecular Weight,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,ALogP
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,4.27,nM,8.37,0,288.43,29.02,0.54,4.49,22.44,3.88
CCCC(C)N1CC(C)(C)C(Oc2ccc(C#N)c(c2)C(F)(F)F)C1=O,IC50,6,nM,8.22,0,368.4,,,,,4.38
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C,IC50,7,nM,8.15,0,284.4,28.67,0.53,4.43,21.86,3.72
Oc1cccc2OCc3c(ccc4NC(=O)C=C(c34)C(F)(F)F)c12,IC50,1.1,nM,8.96,0,333.26,26.88,0.51,5.15,14.38,3.81
Cc1c(C#N)c(c(C)n1Cc2ccccc2)c3ccc(cc3)C#N,IC50,1.4,nM,8.85,0,311.39,28.43,0.5,4.29,16.86,4.56
C[C@H]1CC2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(CC(=O)C)C(=O)C)[C@@]4(C)CCC(=O)C=C14,IC50,6.1,nM,8.21,1,384.56,,,,,5.32
C[C@@H]1Cc2cc3c(cc(O)nc3cc2N1)C(F)(F)F,IC50,7,nM,8.15,0,268.24,,,,,3.32
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,10,nM,8,0,290.45,27.54,0.52,4.04,21.45,3.96
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,1,nM,9,0,290.45,30.99,0.59,5.04,24.13,3.96
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,2.1,nM,8.68,0,290.45,29.88,0.56,4.72,23.26,3.96
COc1cc(SC(C)C)ccc1C#N,IC50,10,nM,8,0,207.3,,,,,3.07
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C=C)[C@@H]1CC[C@@H]2O,IC50,7.9,nM,8.1,0,300.44,26.97,0.5,4.05,21.72,4.05
CN1[C@@H]2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]2(C)C=CC1=O,IC50,7,nM,8.15,0,303.45,26.87,0.51,5.16,20.12,2.99
CNC(=O)c1ccc(cc1)[C@]2(O)CCN([C@H]2C)c3ccc(C#N)c(Cl)c3,IC50,8.6,nM,8.07,0,369.85,21.81,0.42,5.01,10.56,3.06
CC1(C)CCc2cc3c(cc(nc3cc2N1)C#N)C(F)(F)F,IC50,9,nM,8.05,0,305.3,,,,,4.26
C[C@H]1CCCN1c2ccc(C#N)c3ccccc23,IC50,0.84,nM,9.08,0,236.32,38.4,0.69,5.38,33.58,3.7
C[C@](O)(COc1ccc(Cl)cc1Cl)C(=O)N2CCc3c(cccc23)C#N,IC50,9.1,nM,8.04,0,391.25,20.55,0.42,4.46,10.93,3.58
C[C@]12CN(C[C@](C)(O1)[C@H]3[C@@H]2C(=O)N(C3=O)c4ccc(C#N)c(c4)C(F)(F)F)c5cccc(c5)C(=O)N,IC50,7.4,nM,8.13,0,498.46,,,,,2.85
