idx,smi,syba, SAScore, SCScore, Berzt, Withlock, Barone, SMCM, TWC
,Cc1cc(NC(C)CN2CCCC(C)C2)nc(C2CC2)n1,46.696466,3.220153,4.492810,483,20,418,41.499000,8
ZINC000360330987,CCC1(CC)C(NC(=O)NCc2ccc(OC)cc2)CC1OC,52.409648,3.220113,2.890170,511,19,418,39.994000,9
ZINC000490891328,C#CCN1CCC(C(=O)NC2CCCC2C(=O)NC)CC1,39.067571,3.220061,3.493162,421,25,391,39.123000,8
ZINC000059503713,COc1ccc(C2CC(=O)C3=C(C2)NC(C)=C(C(=O)Nc2ccc(C)cc2)C3c2ccccc2Br)cc1OC,66.844445,3.219864,3.591573,1506,39,889,69.085000,16
ZINC000532066890,CCC(Cc1ccccc1Br)C(=O)N1CCCC(N2CCNC2=O)C1,43.390306,3.219818,4.195974,636,26,499,46.064000,10
ZINC000431874656,CC(NC(=O)N1CCC2(CCN(Cc3ccccc3)CC2)C1)C(=O)N1CCCCC1,71.974127,3.219580,3.619398,723,28,569,49.369000,12
ZINC000295504627,COCC1(C)CCN(C(=O)C2(c3ccc(F)cc3F)CCC2)C1,26.172904,3.219291,3.841901,615,21,452,41.417000,10
ZINC000444693886,COc1ccc2cc(CN(C)C(=O)C(C)N3CCC(CC(F)(F)F)C3)ccc2c1,68.281544,3.219286,4.109196,868,25,574,52.585000,11
ZINC000356222297,CC(=O)NC(CC(=O)NC(CO)c1ccsc1)c1cccs1,78.923164,3.219207,3.402350,596,23,433,36.589000,8
ZINC000423469282,COc1ccc2c(c1)C(NCC1CNCCN1C)CCC2,8.461285,3.219175,4.248503,477,20,433,42.245000,8
,CN(C)CCC(NC(=O)C(=O)Nc1ccn(CC(=O)N2CCOCC2)n1)C(C)(C)C,79.818949,3.218948,4.656032,733,26,503,45.100000,12
ZINC000443922802,CC(C)Cc1noc(-c2cc(Cl)ccc2NC(=O)N2CCCC(Cn3ccnn3)C2)n1,89.695152,3.218927,4.999535,1018,30,638,48.818000,12
ZINC000493360317,CC1(C=CC(=O)NC2CCN(Cc3ccccc3)C2=O)CCOCC1,26.666994,3.218745,3.373736,635,25,485,40.226000,10
ZINC000340784797,O=C(NC1CCCC1F)c1ccc(-n2cncn2)nc1,22.963019,3.218702,4.161531,583,25,454,37.685000,8
,CCC(C)C(=O)N1Cc2ccccc2CC1C(=O)Nc1cc(C(=O)OC)c[nH]c1=O,63.604609,3.218414,4.241635,1029,32,637,51.029000,12
ZINC000127901474,O=C(c1ccc(Cl)s1)N1CCC2(O)CCCCC2C1,33.259623,3.218325,3.402272,489,23,418,36.912000,8
ZINC000511363828,COC(=O)C1CCCN(C(=O)c2cn(-c3ccccc3)nn2)C1C(=O)OC,43.220554,3.218282,3.280823,835,31,568,44.425000,11
ZINC000517481959,Cc1nnnn1C(Cc1ccc(F)cc1)C(=O)NC1CC(=O)N(c2ccccc2Cl)C1,75.293488,3.218244,4.717394,1103,34,688,55.846000,12
ZINC000548348174,O=C(NCC1CCOC1c1ccc(F)cc1)c1ccnc2ccncc12,50.022925,3.217653,4.005659,924,28,613,49.698000,10
ZINC000521973122,CCC1(CNC(=O)C(=O)Nc2ccc3c(c2)N(C)CC3)OCCc2ccccc21,40.036601,3.217305,4.381688,942,28,623,47.591000,12
ZINC000540386891,CC(NCc1nnc2n(C)c(=O)c3sccc3n12)c1cccc(-n2cccn2)c1,76.645311,3.217182,4.990252,1363,33,686,46.001000,12
ZINC000174411401,CCn1cc(Br)cc1C(=O)NCC(C)(O)C(C)C,62.481671,3.217143,3.124611,424,13,305,33.146000,7
,Cc1nc(C2CCCN2C(=O)NCc2scnc2C)no1,51.021911,3.217036,4.614291,638,24,443,30.679000,8
ZINC000459632213,CC(C)OC1CC(NCc2c[nH]nc2-c2ccsc2)C1,37.047577,3.216598,4.004807,529,17,381,32.660000,8
ZINC000012522774,Cc1nn(-c2ccccc2)c(C)c1C1C(=O)NCCN1Cn1c(=S)oc2ccccc21,32.282648,3.216440,4.964349,1320,34,713,48.248000,13
